주소,약국명,대표전화,경도,위도
"서울특별시 영등포구 디지털로37길 27, 대덕빌딩 1층 (대림동)",365중앙약국,02-000-0000,126.8979032,37.49099741
"서울특별시 노원구 한글비석로 57, 지하1층 (하계동, 세이브존)",365행복약국,02-951-3456,127.0689153,37.63662358
"서울특별시 동대문구 회기로 193, 1층 (휘경동)",365회기역약국,02-6212-1494,127.0574416,37.59018511
"서울특별시 서초구 사임당로 143, 3층 301호 (서초동)",3층건약국,02-582-2220,127.0252365,37.49185064
"서울특별시 송파구 양재대로 1222, 올림픽프라자 23-1,23호 (방이동)",3층메디칼약국,02-401-7657,127.1310632,37.51572764
"서울특별시 강남구 삼성로 14, 3층 311-1호 (개포동, 개포자이 프레지던스)",3층바른약국,02-445-3414,127.068451,37.48615481
"서울특별시 성동구 동호로 102, 두산아파트 상가동 3층 302호 (금호동3가)",3층엔약국,02-2235-0410,127.0164225,37.54887929
"서울특별시 중랑구 망우로 353 C동 309호 (상봉동, 상봉 프레미어스 엠코)",3층엠코약국,02-434-7707,127.0916241,37.59833282
"서울특별시 마포구 월드컵북로 230, 305호 (중동, 현대상가)",3층온누리약국,02-306-4743,126.903832,37.57014164
"서울특별시 강남구 논현로28길 43, 3층 (도곡동)",3층중앙약국,02-577-2501,127.04519,37.48447976
"서울특별시 용산구 한강대로 69, 3층 305-1호 (한강로2가, 용산푸르지오써밋)",3층파란문약국,02-796-9008,126.9648922,37.52704046
서울특별시 송파구 올림픽로35길 112 장미아파트 비상가 (신천동),3층하나약국,02-412-3358,127.1019173,37.51788662
"서울특별시 서초구 반포대로 291, 3층 307호 (반포동)",3층한사랑약국,02-592-5775,126.999481,37.50490207
"서울특별시 양천구 목동동로 293, 현대41타워 1층 36호, 37호 (목동)",41약국,02-2654-7774,126.875772,37.52817831
"서울특별시 관악구 관악로 195, 4층 408호 (봉천동, 관악위버폴리스)",4층 다나 약국,02-878-9529,126.9530987,37.48256382
"서울특별시 관악구 신림로 350, 404호 (신림동, 서원프라자, 태영아파트)",4층드림약국,070-7761-0424,126.9299488,37.48550722
"서울특별시 동대문구 천호대로 425, 4층 401호 (장안동)",4층현약국,02-2245-3015,127.0664687,37.56181563
"서울특별시 강남구 논현로 537, 지하1층 (역삼동)",537약국,02-555-0537,127.0349625,37.50425736
"서울특별시 강동구 고덕로 133, 강동롯데캐슬퍼스트아파트 5층 513호 (암사동)",5층 하늘약국,02-427-2949,127.1403472,37.55525285
"서울특별시 중구 서소문로 103, 배재빌딩 511호 (서소문동)",5층사랑약국,02-6933-5177,126.9726687,37.56301491
"서울특별시 강남구 선릉로 324, SH타워 5층 (대치동)",5층약국,02-508-5030,127.0520942,37.49853038
"서울특별시 관악구 신림로 350, 5층 (신림동, 서원프라자, 태영아파트)",5층엔약국,02-877-3080,126.9299488,37.48550722
"서울특별시 서초구 동작대로 120, 5층 (방배동)",5층은약국,02-537-9111,126.9827083,37.48725125
"서울특별시 강북구 도봉로 339, 1층 (수유동)",7번약국,02-904-7773,127.0254891,37.6382539
"서울특별시 강남구 테헤란로78길 8, 7층 일부(대치동, 현빌딩)",7층애약국,02-567-0409,127.0552296,37.5056242
"서울특별시 강동구 명일로 117, 106호 (둔촌동)",7형제약국,02-478-9855,127.1427556,37.52961186
"서울특별시 서대문구 성산로 515, 석란 1층 (대신동)",8번가위드팜약국,02-313-4588,126.9433334,37.5630334
"서울특별시 서초구 서초중앙로 125, 로이어즈타워 8층 803호 (서초동)",8층약국,02-582-8885,127.0134188,37.49300947
"서울특별시 마포구 월드컵북로 361, 302호 (상암동, DMC이안상암2단지)",DMC온누리약국,02-483-1457,126.8914039,37.5771097
서울특별시 강남구 일원로 53 (일원동),E-삼성약국,02-3412-1254,127.0818096,37.48926264
"서울특별시 구로구 디지털로26길 38, G-Tower 2층 208호 (구로동)",G타워약국,02-6077-3924,126.8953185,37.4798477
"서울특별시 강북구 솔샘로 184, 에스케이북한산시티 112~113호 (미아동)",SK온누리약국,02-983-8895,127.0128495,37.61995692
"서울특별시 성북구 동소문로 34, 1층 (동소문동3가, 연진빌딩)",W스토어 참좋은약국,02-921-1255,127.0098764,37.58982233
"서울특별시 마포구 월드컵로3길 14, 220호 (합정동)",delight이화약국,02-332-3984,126.911649,37.55100797
"서울특별시 노원구 동일로 1059, (공릉동)",i튼튼약국,02-972-0246,127.0729871,37.62453008
"서울특별시 노원구 덕릉로 662  (중계동, 주공3단지아파트)",the사랑약국,02-933-3678,127.0766235,37.65639695
서울특별시 송파구 토성로 16 (풍납동),가가호호조은약국,02-3784-8500,127.1121297,37.53083333
"서울특별시 강서구 양천로 624, 주산빌딩 103호 (등촌동)",가고싶은 서우약국,02-3661-6288,126.8667853,37.55419667
"서울특별시 강서구 공항대로 지하267, 발산역(5호선) 515-106호 (마곡동)",가고싶은이화사랑약국,02-3663-6922,126.8373108,37.55902927
"서울특별시 강동구 동남로 891, 1층 102호 (명일동)",가까운단골약국,02-441-8855,127.1559477,37.55331857
"서울특별시 성북구 고려대로17길 3, 지하1층 (안암동2가)",가까운동문약국,02-929-2111,127.0251708,37.58648423
"서울특별시 강동구 양재대로 1576, 삼익빌딩 1층 (명일동)",가까운사랑약국,02-428-4428,127.1434543,37.54616183
"서울특별시 송파구 토성로 18, 1층, 지층 (풍납동)",가까운새서울약국,02-477-8205,127.112289,37.53082426
"서울특별시 서대문구 연세로 40, 1~4층 (창천동)",가까운신촌약국,02-362-1001,126.9371728,37.55914978
"서울특별시 동대문구 천호대로 313 10호, 11호 (답십리동, 태영빌딩)",가까운약국,02-3394-4882,127.0553083,37.56544384
서울특별시 강서구 공항대로 426  (화곡동),가까운약국,02-2697-7796,126.8542297,37.55483191
서울특별시 중랑구 겸재로9길 53 (면목동),가까운약국,02-491-0388,127.0781097,37.58887221
"서울특별시 금천구 독산로 133, 1층 (시흥동)",가까운약국,02-802-7779,126.9048737,37.45918029
서울특별시 서초구 동작대로 140   (방배동),가까운약국,070-4116-7212,126.9828044,37.48909158
"서울특별시 영등포구 당산로 34, 로데오 ？ 쇼핑몰 1층 (문래동3가)",가까운약국,02-2671-8231,126.8964937,37.51746312
서울특별시 서대문구 모래내로 364 (홍은동),가까운약국,02-394-7789,126.9365086,37.5818772
서울특별시 성북구 보문로 44 (보문동7가),가까운약국,02-3291-5354,127.0227681,37.57954409
"서울특별시 은평구 통일로 738, 1층 3호 (불광동)",가까운약국,02-356-9813,126.9294067,37.61141586
"서울특별시 관악구 양녕로 46, 112호 (봉천동, 메카플러스)",가까운약국,02-883-7266,126.9472386,37.48615809
"서울특별시 양천구 목동서로 349, 센트럴프라자 106호 (신정동)",가까운온누리약국,02-2650-8828,126.8653068,37.51740654
"서울특별시 용산구 대사관로31길 7-10, 1층 (한남동)",가까운우리약국,02-749-6011,127.0053863,37.5339502
"서울특별시 송파구 강동대로 74, 잠실올림픽아이파크상가 1층 108호, 지층 B103호 (풍납동)",가까운이화약국,02-489-4383,127.1149319,37.52644023
"서울특별시 중랑구 신내로16길 17, 101호 (신내동)",가까운정문약국,070-4402-2579,127.0971803,37.61417516
"서울특별시 강서구 마곡중앙4로 74, 106~107호 (마곡동)",가까운중앙약국,02-2662-3675,126.8349216,37.55788475
"서울특별시 강서구 공항대로36길 9, 1층 (내발산동)",가까운천사약국,02-2662-0266,126.837465,37.55811857
서울특별시 강북구 한천로132길 28 (번동),가까운현대약국,02-6405-5452,127.0293418,37.63997965
"서울특별시 성북구 고려대로13길 8, 1층 (안암동2가)",가나안약국,02-928-4545,127.0236771,37.58699666
"서울특별시 중랑구 봉우재로 39, (면목동)",가나안약국,02-434-9259,127.077554,37.59070817
"서울특별시 중구 다산로 171, 1층 (신당동)",가나약국,050-71353-4364,127.0126392,37.55882344
서울특별시 은평구 서오릉로 46,가나약국,02-352-5088,126.9249904,37.6051318
"서울특별시 송파구 충민로 52, 가든파이브웍스 S동 307호 (문정동)",가든건강온누리약국,070-4667-4880,127.122746,37.47771763
서울특별시 송파구 충민로 66  (문정동),가든파이브약국,02-2157-0600,127.1249618,37.47761484
"서울특별시 금천구 가산디지털1로 171, 가산 에스케이 브이원 센터 1층 117호 (가산동)",가디온누리약국,02-6674-5544,126.8806621,37.48083185
"서울특별시 송파구 송파대로 286, 신흥빌딩 1층 (가락동)",가락약국,02-449-8421,127.1171678,37.49490974
"서울특별시 송파구 동남로 207, (가락동)",가락온누리약국,02-400-3332,127.1309035,37.49606942
"서울특별시 금천구 가산디지털1로 5, 대륭테크노타운 20차 107호 (가산동)",가람약국,02-2225-0048,126.8867188,37.46674548
"서울특별시 양천구 공항대로 564, 1층 5호 (목동)",가람약국,02-2658-3518,126.867872,37.54909446
"서울특별시 구로구 경인로40길 12, GB빌딩 1층 (개봉동)",가람약국,02-2614-7645,126.8591313,37.4962642
"서울특별시 종로구 사직로8길 4, 301동 B127호 (사직동, 광화문 풍림스페이스본)",가람약국,02-733-9303,126.9684298,37.57467165
"서울특별시 은평구 통일로 1030, 은평헤스티아 1,2층 101, 201호호 (진관동)",가람약국,02-351-3200,126.9176955,37.63419225
서울특별시 강남구 압구정로 108 (신사동) 1층 7호,가로수길약국,02-518-4201,127.0206,37.52288891
서울특별시 강남구 압구정로14길 6 (신사동),가로수길천사약국,050-713-3143,127.0229802,37.52385849
"서울특별시 금천구 가산디지털2로 166, 에이스 K1타워 114호 (가산동)",가산비타민약국,050-71319-1323,126.8782938,37.48267353
"서울특별시 금천구 디지털로9길 68, 대륭포스트타워 5차 1층 106호 (가산동)",가산소중한약국,02-3281-8005,126.8864183,37.48107584
서울특별시 금천구 가산로 116 (가산동),가산약국,02-838-1158,126.8931448,37.47610711
"서울특별시 금천구 디지털로10길 78, 126호 (가산동)",가산행운약국,02-6230-5755,126.8896142,37.47453259
"서울특별시 도봉구 노해로65길 17-9, 102,103호 (창동,삼원프라자)",가야온누리약국,02-997-4540,127.0457508,37.65195346
"서울특별시 강서구 허준로 198, 가양프라자 1층 104, 105호 (가양동)",가양누리약국,02-3663-8013,126.8602541,37.56129159
"서울특별시 강서구 양천로 490, 1층 101호 (등촌동)",가양메디약국,02-6952-8866,126.854473,37.56106837
서울특별시 강서구 양천로57길 13   (가양동),가양메디칼약국,02-3661-3055,126.8520237,37.5635982
"서울특별시 강서구 양천로 460, 1층 (등촌동)",가양종로약국,02-2659-2356,126.8516998,37.56258508
"서울특별시 강서구 양천로 431, 홈플러스가양점 B2층 X3,YF호 (가양동)",가양플러스약국,050-71353-9527,126.8499602,37.56426405
"서울특별시 강서구 화곡로68길 3, 1층 (등촌동)",가양하늘약국,02-3665-0130,126.8547379,37.55958367
"서울특별시 강서구 마곡중앙8로 85, 파인스퀘어Ⅱ 109호 (마곡동)",가온약국,070-4794-9611,126.8369855,37.56112553
"서울특별시 강남구 학동로 413, 청담빌딩 2층 (청담동)",가온약국,02-545-0546,127.0451919,37.51815378
"서울특별시 서초구 강남대로 465, 교보타워 B동 지상1층 (서초동)",가온약국,02-533-1884,127.0241095,37.50375605
"서울특별시 은평구 통일로 871, 101호 (갈현동, 효민아크로뷰 C&C미술학원)",가온약국,02-3157-8813,126.9197758,37.62055771
"서울특별시 강동구 올림픽로 658, 오복빌딩 2층 (천호동)",가온약국,02-473-4302,127.1244094,37.53996465
"서울특별시 양천구 목동동로 293, 현대41타워 1층 38호 (목동)",가온온누리약국,02-2061-1119,126.875772,37.52817831
"서울특별시 광진구 천호대로 575, 1층 (중곡동)",가원약국,02-457-7156,127.0821299,37.556499
서울특별시 관악구 봉천로 486 (봉천동),가은약국,02-878-9669,126.9537386,37.48162306
서울특별시 송파구 강동대로 74 잠실올림픽아이파크 상가 1층 103호 (풍납동),가장빠른천사약국,02-483-8875,127.1149319,37.52644023
"서울특별시 송파구 강동대로 74, 잠실 올림픽공원 아이파크 상가동 105,106,107,204호,204-1호 일부호 (풍납동)",가장친절한정문앞중앙약국,02-484-2888,127.1149319,37.52644023
"서울특별시 강서구 공항대로 248, 111~113, 206호 (마곡동)",가장큰이대약국,02-2662-8279,126.8348939,37.55840386
서울특별시 용산구 대사관로 52  (한남동),가장큰태평양약국,02-790-3376,127.0038907,37.53331694
"서울특별시 송파구 강동대로 67, 1층 (풍납동)",가장큰현대아산약국,02-488-4214,127.115258,37.52701115
"서울특별시 양천구 목동중앙본로 128-2, 1층 (목동)",가정약국,02-2648-5110,126.8720711,37.54666946
서울특별시 강북구 오패산로52길 39 (미아동),가족사랑약국,02-945-3720,127.0320708,37.62469669
서울특별시 서대문구 모래내로 137 1층 (남가좌동),가좌진약국,02-372-7749,126.9169057,37.56913705
"서울특별시 은평구 통일로 1031, 1층 102호 (진관동)",가톨릭정문약국,02-389-9846,126.9166725,37.63466681
"서울특별시 은평구 통일로 1031, 101호 (진관동)",가톨릭중앙약국,02-3157-3897,126.9166725,37.63466681
"서울특별시 강남구 압구정로 336, 101호 (신사동)",감마약국,02-547-8990,127.0384775,37.52802285
서울특별시 송파구 백제고분로41길 11  (송파동),감초당약국,02-412-0306,127.1079865,37.50705963
"서울특별시 동대문구 한천로 242, 1층 (전농동)",감초당온누리약국,02-438-1314,127.068606,37.58250017
서울특별시 강서구 강서로 38 (화곡동),감초약국,02-2602-5884,126.8473196,37.53124981
"서울특별시 은평구 은평터널로 16, DMC파인시티자이상가 1층 313호 (수색동)",갑진약국,02-307-8275,126.8977424,37.5836208
"서울특별시 강남구 학동로 지하 346, 강남구청역 B1층 111호 (삼성동)",강남구청역약국,02-511-6252,127.0413014,37.51718924
"서울특별시 강남구 남부순환로 2615 (도곡동, 극동스타클래스)",강남굿모닝약국,02-529-4155,127.0358837,37.48518529
"서울특별시 서초구 강남대로 435, 주류성빌딩 1층 (서초동)",강남드림약국,070-8841-0063,127.025561,37.50117761
"서울특별시 강남구 헌릉로 569, 1층 105호 (세곡동)",강남리더스약국,02-3414-8001,127.1012262,37.46575802
"서울특별시 강남구 삼성로 233 (대치동, 신사빌딩)",강남메디칼약국,02-568-6644,127.0609014,37.49805684
"서울특별시 서초구 방배로 174, 1층 (방배동, 태창빌딩)",강남메디칼약국,02-594-0801,126.993061,37.48918282
"서울특별시 강남구 논현로86길 22, 1층 (역삼동)",강남미소약국,02-555-5640,127.0393548,37.50003117
"서울특별시 강남구 강남대로 376, 1층 1호 (역삼동)",강남미약국,02-501-2105,127.0287989,37.49657399
"서울특별시 서초구 효령로 431, 서초동 청화오피스텔 102호 (서초동)",강남백년가약국,02-597-0119,127.0306526,37.48964964
서울특별시 강남구 도곡로 516  (대치동),강남보선약국,02-568-2310,127.0629879,37.49918128
"서울특별시 서초구 마방로6길 8-45, 103호 (양재동)",강남봄약국,02-557-9480,127.0412896,37.47430258
"서울특별시 서초구 남부순환로 2201, 111호 (방배동)",강남사랑약국,02-523-9775,126.9931136,37.47418039
"서울특별시 강남구 도곡로 523, 1층 (대치동)",강남새천년온누리약국,02-552-3524,127.0636715,37.50005633
"서울특별시 강남구 언주로 309, 1층 (역삼동)",강남샘약국,02-508-2333,127.0457351,37.49509388
"서울특별시 서초구 강남대로 419, 파고다타워 B2층 101호 (서초동)",강남성지약국,050-713-2968,127.0262108,37.49980073
"서울특별시 강남구 논현로 52, 남현빌딩 1층 (개포동)",강남세계로약국,02-572-2720,127.0475796,37.47521051
"서울특별시 강남구 강남대로 406, GLASS TOWER 1층 (역삼동)",강남센트럴약국,02-558-5559,127.027637,37.49891066
"서울특별시 강남구 도산대로 513, 양원빌딩 1층 101호 (청담동)",강남셀리뉴약국,02-400-1640,127.0494715,37.52479416
"서울특별시 강남구 테헤란로4길 6, 강남역 센트럴 푸르지오 시티 1층 118호 (역삼동)",강남썬약국,02-567-7636,127.0292864,37.49766742
"서울특별시 강남구 강남대로 416, 1층 (역삼동, 창림빌딩)",강남씨티약국,02-553-1608,127.0271576,37.49979881
서울특별시 강동구 양재대로 1355 (성내동),강남약국,02-486-7823,127.1356161,37.52739525
"서울특별시 서초구 강남대로 463, 지하1층 102호 (서초동, 리젠타워)",강남약국,070-7755-2030,127.0244468,37.50344757
"서울특별시 서초구 서초대로77길 9, 강남 누드죤빌딩 104호 (서초동)",강남엘약국,02-533-7737,127.0262133,37.49858942
"서울특별시 강남구 강남대로 388, 강남센타빌딩 지하 2층 2호 (역삼동)",강남역 2번출구 약국,02-565-5490,127.0284225,37.49744958
"서울특별시 강남구 테헤란로4길 6, 지하1층 b106호 (역삼동)",강남역스타약국,02-6326-8908,127.0292864,37.49766742
"서울특별시 강남구 선릉로 406, 102호 (대치동)",강남온누리약국,02-566-6480,127.0508325,37.50115457
"서울특별시 강남구 강남대로 338, 1층 (역삼동)",강남옵티마정약국,02-6952-7831,127.0305768,37.49350219
서울특별시 강남구 강남대로 432 1층 (역삼동),강남웰약국,02-6440-5656,127.0266306,37.50123504
"서울특별시 강남구 테헤란로 121, 원빌딩 2층 202호 (역삼동)",강남으뜸약국,02-6941-1403,127.0310628,37.49941618
"서울특별시 강남구 언주로 639, 1층 (논현동)",강남정성약국,02-3446-9720,127.03496,37.51361655
서울특별시 강남구 테헤란로 139,강남제일온누리약국,02-555-7790,127.0343432,37.50040088
"서울특별시 강남구 남부순환로361길 6, 105호 (도곡동)",강남조은약국,02-571-9515,127.0375707,37.48559401
"서울특별시 강남구 선릉로 309, SJ빌딩 1층 (역삼동)",강남태평양약국,02-555-2017,127.0521596,37.49718578
"서울특별시 강남구 학동로 323 (논현동, 한미빌딩)",강남프라자약국,02-514-4222,127.0383403,37.51657296
서울특별시 강남구 학동로 342,강남허브약국,02-3014-9272,127.0408413,37.51675601
"서울특별시 서초구 강남대로55길 9-13, J타워 4층 (서초동)",강남호랑이한약국,02-585-5262,127.0278376,37.49498259
"서울특별시 강동구 양재대로 1465, 마루홈타운 107호 (길동)",강동더본약국,02-477-8280,127.1393143,37.53683992
"서울특별시 강동구 양재대로 1461, SC MEDI TOWER 1층 (길동)",강동메디온약국,02-475-0067,127.139096,37.53639013
"서울특별시 강동구 올림픽로 686, 1층 (천호동)",강동메디칼약국,02-483-0108,127.1251037,37.54247311
서울특별시 강동구 올림픽로 782 (암사동),강동미래약국,02-442-6263,127.1281262,37.55086573
"서울특별시 강동구 동남로73길 13, 1층 (명일동)",강동새경희약국,02-3428-0100,127.1554617,37.55274302
"서울특별시 강동구 진황도로 81, 강동투웨니퍼스트 1층 101호 (길동)",강동성실약국,02-478-7001,127.1357071,37.53670401
"서울특별시 강동구 천호대로 1024, 힐스테이트 천호역 젠트리스 3층 (성내동)",강동센터약국,02-6417-7070,127.1257289,37.53737387
"서울특별시 강동구 천호대로 1111, 1층 (길동, 정우빌딩)",강동소망약국,02-487-6464,127.1351079,37.5353823
"서울특별시 강동구 양재대로 1473, 희헌타워 1층 (길동)",강동솔약국,02-474-2696,127.1395888,37.53751219
"서울특별시 강동구 양재대로 1570, 미래빌딩 1층 (명일동)",강동온누리약국,02-2135-7572,127.1432421,37.54566357
"서울특별시 강동구 천호대로173길 12, EY빌딩 (길동)",강동우리약국,02-479-1150,127.1355522,37.53560245
"서울특별시 강동구 동남로 891, 103호 (명일동)",강동원약국,02-6081-0101,127.1559477,37.55331857
"서울특별시 강동구 천호대로 1124, 1층 (성내동)",강동웰빙약국,02-473-4959,127.1361921,37.53433608
"서울특별시 강동구 양재대로103길 5, 1층 (성내동)",강동이레약국,02-489-2585,127.1375458,37.53275857
"서울특별시 강동구 올림픽로 806, 1층 104호 (암사동, 까사팔공육)",강동천사약국,02-2359-3974,127.1288303,37.55292798
서울특별시 강동구 양재대로 1343 (성내동),강동태평양약국,02-473-3377,127.1352152,37.52633938
"서울특별시 강동구 올림픽로 624, 강동메디컬센터 1층 (성내동)",강동프라자약국,02-470-0203,127.1232435,37.53704357
서울특별시 강동구 올림픽로 778,강동한우리약국,02-481-3237,127.1279167,37.55039996
서울특별시 동작구 시흥대로 668-3   (신대방동),강림약국,02-832-8975,126.9086283,37.49109999
"서울특별시 광진구 광나루로56길 63, 123호,135호,136호 (구의동, 프라임프라자상가)",강변그랜드약국,02-447-4842,127.0961606,37.53678879
